City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Cockburn Town,TC,21.4612,-71.1419,82.06,71,57,12.33,broken clouds
250,Barabai,ID,-2.5833,115.3833,74.37,94,99,0.67,overcast clouds
251,Gamba,GA,-2.65,10.0,75.6,85,54,6.22,broken clouds
252,Sumedang,ID,-6.8592,107.9207,71.78,90,100,3.31,overcast clouds
253,Harsin,IR,34.2721,47.5861,74.21,16,0,2.86,clear sky
254,Mehamn,NO,71.0357,27.8492,40.91,70,0,8.05,clear sky
255,Maniitsoq,GL,65.4167,-52.9,34.65,81,96,0.56,overcast clouds
256,Shenxian,CN,36.2411,115.6672,70.38,73,78,8.93,heavy intensity rain
257,Logan Lake,CA,50.4998,-120.8025,63.9,46,33,4.61,scattered clouds
258,Coquimbo,CL,-29.9533,-71.3436,60.84,77,42,8.46,scattered clouds
259,Maceio,BR,-9.6658,-35.7353,81.84,65,75,13.8,broken clouds
260,Charters Towers,AU,-20.1,146.2667,64.26,78,66,7.0,broken clouds
261,Khandyga,RU,62.6667,135.6,27.12,92,97,2.89,light snow
262,Wiang Sa,TH,8.6359,99.3666,80.89,91,100,2.82,overcast clouds
263,La Orilla,MX,17.9833,-102.2333,85.15,70,54,4.23,broken clouds
264,Troitsk,RU,54.0979,61.5773,35.01,48,34,9.01,scattered clouds
265,San Patricio,US,28.017,-97.5169,89.55,41,0,5.91,clear sky
266,Akodia,IN,23.3833,76.6,75.0,72,8,6.17,clear sky
267,Atar,MR,20.5169,-13.0499,90.72,23,14,15.21,few clouds
268,Zhangjiakou,CN,40.81,114.8794,65.84,49,100,4.59,overcast clouds
269,Fortuna,US,40.5982,-124.1573,73.92,65,0,1.99,clear sky
270,Denpasar,ID,-8.65,115.2167,78.46,94,40,3.44,scattered clouds
271,Evensk,RU,61.95,159.2333,35.64,99,100,11.95,moderate rain
272,Long Beach,US,33.767,-118.1892,80.98,75,75,5.75,broken clouds
273,Menongue,AO,-14.6585,17.691,79.66,23,74,3.29,broken clouds
274,Sambava,MG,-14.2667,50.1667,68.99,79,1,11.81,clear sky
275,Belaya Gora,RU,68.5333,146.4167,23.2,79,100,5.06,overcast clouds
276,Khandbari,NP,27.3747,87.2039,68.41,82,6,2.84,clear sky
277,San Cristobal,VE,7.7669,-72.225,75.38,47,99,5.28,overcast clouds
278,Mitsamiouli,KM,-11.3847,43.2844,75.63,74,41,2.8,scattered clouds
279,Bilma,NE,18.6853,12.9164,96.08,23,43,8.48,scattered clouds
280,North Bend,US,43.4065,-124.2243,67.15,96,20,10.36,mist
281,Ostrovnoy,RU,68.0531,39.5131,35.91,88,100,10.22,overcast clouds
282,Tygda,RU,53.1167,126.3333,29.64,83,13,2.75,few clouds
283,Ayan,RU,56.45,138.1667,35.96,57,0,14.16,clear sky
284,Pevek,RU,69.7008,170.3133,29.14,80,100,5.84,light snow
285,Erzin,TR,36.9559,36.2,78.26,60,0,2.21,clear sky
286,Dryden,CA,49.7833,-92.7503,65.43,41,29,2.77,scattered clouds
287,Moses Lake,US,47.1301,-119.2781,65.08,68,100,4.61,overcast clouds
288,Port-Cartier,CA,50.0334,-66.8654,54.75,47,38,12.3,scattered clouds
289,Coihaique,CL,-45.5752,-72.0662,57.15,35,20,8.05,few clouds
290,Codajas,BR,-3.8367,-62.0569,104.86,21,50,4.41,scattered clouds
291,Jeremie,HT,18.65,-74.1167,83.82,69,8,2.48,clear sky
292,London,GB,51.5085,-0.1257,56.95,92,75,13.8,moderate rain
293,Half Moon Bay,US,37.4636,-122.4286,83.17,65,0,4.61,clear sky
294,Mulanje,MW,-16.0316,35.5,78.33,38,88,7.07,overcast clouds
295,Mecca,SA,21.4267,39.8261,85.51,55,0,2.48,clear sky
296,Lagoa,PT,39.05,-27.9833,68.34,65,3,3.85,clear sky
297,Dawei,MM,14.0833,98.2,74.71,93,100,2.84,light rain
298,Antalaha,MG,-14.9003,50.2788,66.18,81,1,8.23,clear sky
299,Saint-Pierre,RE,-21.3393,55.4781,69.48,73,0,9.22,clear sky
300,Inhambane,MZ,-23.865,35.3833,70.77,80,0,8.81,clear sky
301,Sola,VU,-13.8833,167.55,80.2,67,82,5.28,broken clouds
